12:16:48 | INFO | TestInfiniteScroll:ui_base_case.py:36 | Chrome download directory set to download_path=/home/runner/work/seleniumbase-python/seleniumbase-python/downloaded_files/gw3
12:16:48 | INFO | TestInfiniteScroll:test_infinite_scroll.py:18 | Tests Infinite Scroll.
12:16:48 | INFO | MainPage:base_page.py:82 | Waiting for page to load with indicator '{'selector': 'h1.heading', 'by': 'css selector'}' for 10s.
12:16:48 | INFO | MainPage:base_page.py:84 | Page loaded successfully with indicator '{'selector': 'h1.heading', 'by': 'css selector'}'.
12:16:48 | INFO | MainPage:main_page.py:230 | Navigating to Infinite Scroll page.
12:16:49 | INFO | InfiniteScrollPage:base_page.py:82 | Waiting for page to load with indicator '{'selector': '.example h3', 'by': 'css selector'}' for 10s.
12:16:49 | INFO | InfiniteScrollPage:base_page.py:84 | Page loaded successfully with indicator '{'selector': '.example h3', 'by': 'css selector'}'.
12:16:49 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
12:16:49 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
12:16:59 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
12:16:59 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
12:16:59 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
12:16:59 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
12:17:09 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
12:17:09 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
12:17:09 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
12:17:09 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
12:17:19 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
12:17:19 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
12:17:19 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
12:17:19 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
12:17:30 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
12:17:30 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
12:17:30 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
12:17:30 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
12:17:40 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
12:17:40 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
