06:31:43 | INFO     | root                 | Directory cleaned and recreated at: downloaded_files/gw1.
06:31:52 | INFO     | TestAddRemoveElements | Chrome download directory set to browser=chrome download_path=/home/runner/work/seleniumbase-python/seleniumbase-python/downloaded_files/gw1 test_name=test_add_elements
06:31:52 | INFO     | TestAddRemoveElements | Tests for add elements.        browser=chrome test_name=test_add_elements
06:31:52 | INFO     | MainPage             | Waiting for page to load with indicator '{'selector': 'h1.heading', 'by': 'css selector'}' for 10s. browser=chrome page=MainPage test_name=test_add_elements
06:31:52 | INFO     | MainPage             | Page loaded successfully with indicator '{'selector': 'h1.heading', 'by': 'css selector'}'. browser=chrome page=MainPage test_name=test_add_elements
06:31:52 | INFO     | MainPage             | Navigating to Add/Remove Elements page. browser=chrome page=MainPage test_name=test_add_elements
06:31:53 | INFO     | AddRemoveElementsPage | Waiting for page to load with indicator '{'selector': 'div#content h3', 'by': 'css selector'}' for 10s. browser=chrome page=AddRemoveElementsPage test_name=test_add_elements
06:31:53 | INFO     | AddRemoveElementsPage | Page loaded successfully with indicator '{'selector': 'div#content h3', 'by': 'css selector'}'. browser=chrome page=AddRemoveElementsPage test_name=test_add_elements
06:31:53 | INFO     | TestAddRemoveElements | Add two elements.              browser=chrome test_name=test_add_elements
06:31:53 | INFO     | AddRemoveElementsPage | Clicking Add Element button.   browser=chrome page=AddRemoveElementsPage test_name=test_add_elements
06:31:53 | INFO     | AddRemoveElementsPage | Clicking Add Element button.   browser=chrome page=AddRemoveElementsPage test_name=test_add_elements
06:31:53 | INFO     | TestAddRemoveElements | Getting delete buttons count.  browser=chrome test_name=test_add_elements
06:31:53 | INFO     | AddRemoveElementsPage | Counting Delete Element button(s). browser=chrome page=AddRemoveElementsPage test_name=test_add_elements
06:31:53 | INFO     | AddRemoveElementsPage | Counting elements with locator: '{'selector': '#elements > button', 'by': 'css selector'}'. browser=chrome page=AddRemoveElementsPage test_name=test_add_elements
06:31:53 | INFO     | TestAddRemoveElements | Verifying delete buttons count. browser=chrome test_name=test_add_elements
