11:54:11 | INFO | TestInfiniteScroll:ui_base_case.py:37 | Chrome download directory set to download_path=/home/runner/work/seleniumbase-python/seleniumbase-python/downloaded_files/gw2
11:54:12 | INFO | TestInfiniteScroll:test_infinite_scroll.py:18 | Tests Infinite Scroll.
11:54:12 | INFO | MainPage:base_page.py:82 | Waiting for page to load with indicator '{'selector': 'h1.heading', 'by': 'css selector'}' for 10s.
11:54:12 | INFO | MainPage:base_page.py:84 | Page loaded successfully with indicator '{'selector': 'h1.heading', 'by': 'css selector'}'.
11:54:12 | INFO | MainPage:main_page.py:230 | Navigating to Infinite Scroll page.
11:54:12 | INFO | InfiniteScrollPage:base_page.py:82 | Waiting for page to load with indicator '{'selector': '.example h3', 'by': 'css selector'}' for 10s.
11:54:12 | INFO | InfiniteScrollPage:base_page.py:84 | Page loaded successfully with indicator '{'selector': '.example h3', 'by': 'css selector'}'.
11:54:12 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
11:54:12 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
11:54:22 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
11:54:22 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
11:54:22 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
11:54:22 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
11:54:33 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
11:54:33 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
11:54:33 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
11:54:33 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
11:54:43 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
11:54:43 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
11:54:43 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
11:54:43 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
11:54:53 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
11:54:53 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
11:54:53 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
11:54:53 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
11:55:03 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
11:55:03 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
