15:56:34 | INFO | TestInfiniteScroll:ui_base_case.py:36 | Chrome download directory set to download_path=/home/runner/work/seleniumbase-python/seleniumbase-python/downloaded_files/gw0
15:56:34 | INFO | TestInfiniteScroll:test_infinite_scroll.py:18 | Tests Infinite Scroll.
15:56:34 | INFO | MainPage:base_page.py:82 | Waiting for page to load with indicator '{'selector': 'h1.heading', 'by': 'css selector'}' for 10s.
15:56:35 | INFO | MainPage:base_page.py:84 | Page loaded successfully with indicator '{'selector': 'h1.heading', 'by': 'css selector'}'.
15:56:35 | INFO | MainPage:main_page.py:230 | Navigating to Infinite Scroll page.
15:56:35 | INFO | InfiniteScrollPage:base_page.py:82 | Waiting for page to load with indicator '{'selector': '.example h3', 'by': 'css selector'}' for 10s.
15:56:35 | INFO | InfiniteScrollPage:base_page.py:84 | Page loaded successfully with indicator '{'selector': '.example h3', 'by': 'css selector'}'.
15:56:35 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
15:56:35 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
15:56:45 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
15:56:45 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
15:56:45 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
15:56:45 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
15:56:55 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
15:56:55 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
15:56:55 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
15:56:55 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
15:57:05 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
15:57:05 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
15:57:05 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
15:57:05 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
15:57:15 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
15:57:15 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
15:57:15 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
15:57:15 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
15:57:26 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
15:57:26 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
