21:55:43 | INFO | TestInfiniteScroll:ui_base_case.py:37 | Chrome download directory set to download_path=/home/runner/work/seleniumbase-python/seleniumbase-python/downloaded_files/gw0
21:55:44 | INFO | TestInfiniteScroll:test_infinite_scroll.py:18 | Tests Infinite Scroll.
21:55:44 | INFO | MainPage:base_page.py:82 | Waiting for page to load with indicator '{'selector': 'h1.heading', 'by': 'css selector'}' for 10s.
21:55:44 | INFO | MainPage:base_page.py:84 | Page loaded successfully with indicator '{'selector': 'h1.heading', 'by': 'css selector'}'.
21:55:44 | INFO | MainPage:main_page.py:229 | Navigating to Infinite Scroll page.
21:55:44 | INFO | InfiniteScrollPage:base_page.py:82 | Waiting for page to load with indicator '{'selector': '.example h3', 'by': 'css selector'}' for 10s.
21:55:44 | INFO | InfiniteScrollPage:base_page.py:84 | Page loaded successfully with indicator '{'selector': '.example h3', 'by': 'css selector'}'.
21:55:44 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
21:55:44 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
21:55:54 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
21:55:54 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
21:55:54 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
21:55:54 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
21:56:05 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
21:56:05 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
21:56:05 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
21:56:05 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
21:56:15 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
21:56:15 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
21:56:15 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
21:56:15 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
21:56:25 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
21:56:25 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
21:56:25 | INFO | TestInfiniteScroll:test_infinite_scroll.py:23 | Getting old page height.
21:56:25 | INFO | TestInfiniteScroll:test_infinite_scroll.py:26 | Scrolling to bottom of page.
21:56:35 | INFO | TestInfiniteScroll:test_infinite_scroll.py:29 | Getting new page height.
21:56:35 | INFO | TestInfiniteScroll:test_infinite_scroll.py:32 | Verifying new page height is bigger than old page height.
