06:31:54 | INFO     | TestAddRemoveElements | Chrome download directory set to browser=chrome download_path=/home/runner/work/seleniumbase-python/seleniumbase-python/downloaded_files/gw1 test_name=test_remove_elements
06:31:54 | INFO     | TestAddRemoveElements | Tests for remove elements.     browser=chrome test_name=test_remove_elements
06:31:54 | INFO     | MainPage             | Waiting for page to load with indicator '{'selector': 'h1.heading', 'by': 'css selector'}' for 10s. browser=chrome page=MainPage test_name=test_remove_elements
06:31:54 | INFO     | MainPage             | Page loaded successfully with indicator '{'selector': 'h1.heading', 'by': 'css selector'}'. browser=chrome page=MainPage test_name=test_remove_elements
06:31:54 | INFO     | MainPage             | Navigating to Add/Remove Elements page. browser=chrome page=MainPage test_name=test_remove_elements
06:31:54 | INFO     | AddRemoveElementsPage | Waiting for page to load with indicator '{'selector': 'div#content h3', 'by': 'css selector'}' for 10s. browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:54 | INFO     | AddRemoveElementsPage | Page loaded successfully with indicator '{'selector': 'div#content h3', 'by': 'css selector'}'. browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:54 | INFO     | TestAddRemoveElements | Ensure there are elements to remove browser=chrome test_name=test_remove_elements
06:31:54 | INFO     | AddRemoveElementsPage | Clicking Add Element button.   browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:54 | INFO     | AddRemoveElementsPage | Clicking Add Element button.   browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:54 | INFO     | TestAddRemoveElements | Remove all elements            browser=chrome test_name=test_remove_elements
06:31:54 | INFO     | AddRemoveElementsPage | Counting Delete Element button(s). browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:54 | INFO     | AddRemoveElementsPage | Counting elements with locator: '{'selector': '#elements > button', 'by': 'css selector'}'. browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:54 | INFO     | AddRemoveElementsPage | Clicking Delete Element button. browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:55 | INFO     | AddRemoveElementsPage | Counting Delete Element button(s). browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:55 | INFO     | AddRemoveElementsPage | Counting elements with locator: '{'selector': '#elements > button', 'by': 'css selector'}'. browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:55 | INFO     | AddRemoveElementsPage | Clicking Delete Element button. browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:55 | INFO     | AddRemoveElementsPage | Counting Delete Element button(s). browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:55 | INFO     | AddRemoveElementsPage | Counting elements with locator: '{'selector': '#elements > button', 'by': 'css selector'}'. browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:55 | INFO     | TestAddRemoveElements | Getting delete buttons count.  browser=chrome test_name=test_remove_elements
06:31:55 | INFO     | AddRemoveElementsPage | Counting Delete Element button(s). browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:55 | INFO     | AddRemoveElementsPage | Counting elements with locator: '{'selector': '#elements > button', 'by': 'css selector'}'. browser=chrome page=AddRemoveElementsPage test_name=test_remove_elements
06:31:55 | INFO     | TestAddRemoveElements | Verifying delete buttons count. browser=chrome test_name=test_remove_elements
