06:32:48 | INFO     | TestChallengingDom   | Verify edit and delete buttons per row are clickable. browser=firefox test_name=test_table_edit_and_delete_buttons_per_row
06:32:48 | INFO     | MainPage             | Waiting for page to load with indicator '{'selector': 'h1.heading', 'by': 'css selector'}' for 10s. browser=firefox page=MainPage test_name=test_table_edit_and_delete_buttons_per_row
06:32:48 | INFO     | MainPage             | Page loaded successfully with indicator '{'selector': 'h1.heading', 'by': 'css selector'}'. browser=firefox page=MainPage test_name=test_table_edit_and_delete_buttons_per_row
06:32:48 | INFO     | MainPage             | Navigating to Challenging DOM page. browser=firefox page=MainPage test_name=test_table_edit_and_delete_buttons_per_row
06:32:48 | INFO     | ChallengingDomPage   | Waiting for page to load with indicator '{'selector': 'div.example h3', 'by': 'css selector'}' for 10s. browser=firefox page=ChallengingDomPage test_name=test_table_edit_and_delete_buttons_per_row
06:32:48 | INFO     | ChallengingDomPage   | Page loaded successfully with indicator '{'selector': 'div.example h3', 'by': 'css selector'}'. browser=firefox page=ChallengingDomPage test_name=test_table_edit_and_delete_buttons_per_row
06:32:48 | INFO     | TestChallengingDom   | Clicking edit button in row 0. browser=firefox test_name=test_table_edit_and_delete_buttons_per_row
06:32:48 | INFO     | TestChallengingDom   | Click delete button in row 0.  browser=firefox test_name=test_table_edit_and_delete_buttons_per_row
06:32:48 | INFO     | TestChallengingDom   | Clicking edit button in row 1. browser=firefox test_name=test_table_edit_and_delete_buttons_per_row
06:32:48 | INFO     | TestChallengingDom   | Click delete button in row 1.  browser=firefox test_name=test_table_edit_and_delete_buttons_per_row
06:32:48 | INFO     | TestChallengingDom   | Clicking edit button in row 2. browser=firefox test_name=test_table_edit_and_delete_buttons_per_row
06:32:48 | INFO     | TestChallengingDom   | Click delete button in row 2.  browser=firefox test_name=test_table_edit_and_delete_buttons_per_row
